level_0,index,FILING_SEQ_NO,Year,ID_NO,BUS_CODE1,PROFIT_BFOR_INTRST_DEPRCTN_TAX,INTEREST_EXPENSES,DEPRECIATION_EXPENSES,PROFIT_BEFORE_TAXES,PROFIT_AFTER_TAX,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS_AFTER_DEP,TOT_DEP_PM,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,dep_amt_pm,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,ST_CG_AMT_APPRATE,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INC_SPL_111A_112,INC_SPL_RATE_NONCG,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CY_Losses,GTI_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GTI_AFTER_LOSS,TOTAL_CAP_GAIN,INC_SPL_111A_112,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,INC_CHG_TAX_NORMAL_RATES,NET_AGRC_INCOME,CY_LOSS_CARRYFWD,CRDT_SEC_115JAA_TAX_PAID_EYRS,TAX_PAYABLE_AFTR_CRED_115JAA,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,DEEMED_TI_SEC115JB,TAX_DEEMED_TI_SEC115JB,DEEMED_TI_SURCHARGE,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,TAX_PAYABL_TOT_INCOM,SURCHARGE_BALANCE_TAX_PAYABLE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,AGGREGATE_LIABILTY,AMT_ANY_DIVIDEND_DECLRD,PADDTNS_180_DAYS__MOR_PY_15P,PADDTNS_180_DAYS__MOR_PY_30P,PADDTNS_180_DAYS__MOR_PY_40P,PADDTNS_180_DAYS__MOR_PY_50P,PADDTNS_180_DAYS__MOR_PY_60P,PADDTNS_180_DAYS__MOR_PY_80P,PADDTNS_180_DAYS__MOR_PY_100P,PADDTNS_LESS_180_DAYS_15P,PADDTNS_LESS_180_DAYS_30P,PADDTNS_LESS_180_DAYS_40P,PADDTNS_LESS_180_DAYS_50P,PADDTNS_LESS_180_DAYS_60P,PADDTNS_LESS_180_DAYS_80P,PADD_VALLESS180DAY_PRV_YR_100P,PADDTNL_DEPRECTN_ANY_4_15P,PADDTNL_DEPRECTN_ANY_4_30P,PADDTNL_DEPRECTN_ANY_4_40P,PADDTNL_DEPRECTN_ANY_4_50P,PADDTNL_DEPRECTN_ANY_4_60P,PADDTNL_DEPRECTN_ANY_4_80P,PADDTNL_DEPRECTN_ANY_4_100P,PADDTNL_DEPRECTN_ANY_7_15P,PADDTNL_DEPRECTN_ANY_7_30P,PADDTNL_DEPRECTN_ANY_7_40P,PADDTNL_DEPRECTN_ANY_7_50P,PADDTNL_DEPRECTN_ANY_7_60P,PADDTNL_DEPRECTN_ANY_7_80P,PADDTNL_DEPRECTN_ANY_7_100P,BADDTNS_180_DAYS__MOR_PY_5P,BADDTNS_180_DAYS__MOR_PY_10P,BADDTNS_180_DAYS__MOR_PY_100P,BADDTNS_LESS_180_DAYS_5P,BADDTNS_LESS_180_DAYS_10P,BADDTNS_LESS_180_DAYS_100P,BADDTNL_DEPRECTN_ANY_4_5P,BADDTNL_DEPRECTN_ANY_4_10P,BADDTNL_DEPRECTN_ANY_4_100P,BADDTNL_DEPRECTN_ANY_7_5P,BADDTNL_DEPRECTN_ANY_7_10P,BADDTNL_DEPRECTN_ANY_7_100P,FADDTNS_180_DAYS__MOR_PY_10P,FADDTNS_LESS_180_DAYS_10P,FADDTNL_DEPRECTN_ANY_4_10P,FADDTNL_DEPRECTN_ANY_7_10P,IADDTNS_180_DAYS__MOR_PY_10P,IADDTNS_LESS_180_DAYS_10P,IADDTNL_DEPRECTN_ANY_4_10P,IADDTNL_DEPRECTN_ANY_7_10P,SADDTNS_180_DAYS__MOR_PY_10P,SADDTNS_LESS_180_DAYS_10P,SADDTNL_DEPRECTN_ANY_4_10P,SADDTNL_DEPRECTN_ANY_7_10P,PWR_DOWN_VAL_1ST_DAY_PY_15P,PWR_DOWN_VAL_1ST_DAY_PY_30P,PWR_DOWN_VAL_1ST_DAY_PY_40P,PWR_DOWN_VAL_1ST_DAY_PY_50P,PWR_DOWN_VAL_1ST_DAY_PY_60P,PWR_DOWN_VAL_1ST_DAY_PY_80P,PWR_DOWN_VAL_1ST_DAY_PY_100P,PCR34_PY_15P,PCR34_PY_30P,PCR34_PY_40P,PCR34_PY_50P,PCR34_PY_60P,PCR34_PY_80P,PCR34_PY_100P,PAMT_DEPRECTN_FULL_RATE_15P,PAMT_DEPRECTN_FULL_RATE_30P,PAMT_DEPRECTN_FULL_RATE_40P,PAMT_DEPRECTN_FULL_RATE_50P,PAMT_DEPRECTN_FULL_RATE_60P,PAMT_DEPRECTN_FULL_RATE_80P,PAMT_DEPRECTN_FULL_RATE_100P,PCR7_PY_15P,PCR7_PY_30P,PCR7_PY_40P,PCR7_PY_50P,PCR7_PY_60P,PCR7_PY_80P,PCR7_PY_100P,PAMT_DEP_HALF_RATE_ALLWD_15P,PAMT_DEP_HALF_RATE_ALLWD_30P,PAMT_DEP_HALF_RATE_ALLWD_40P,PAMT_DEP_HALF_RATE_ALLWD_50P,PAMT_DEP_HALF_RATE_ALLWD_60P,PAMT_DEP_HALF_RATE_ALLWD_80P,PAMT_DEP_HALF_RATE_ALLWD_100P,PDEPRECTN_6_FULL_RATE_15P,PDEPRECTN_6_FULL_RATE_30P,PDEPRECTN_6_FULL_RATE_40P,PDEPRECTN_6_FULL_RATE_50P,PDEPRECTN_6_FULL_RATE_60P,PDEPRECTN_6_FULL_RATE_80P,PDEPRECTN_6_FULL_RATE_100P,PDEPRECTN_9_HALF_RATE_15P,PDEPRECTN_9_HALF_RATE_30P,PDEPRECTN_9_HALF_RATE_40P,PDEPRECTN_9_HALF_RATE_50P,PDEPRECTN_9_HALF_RATE_60P,PDEPRECTN_9_HALF_RATE_80P,PDEPRECTN_9_HALF_RATE_100P,PTOTAL_DEPRCTN_15P,PTOTAL_DEPRCTN_30P,PTOTAL_DEPRCTN_40P,PTOTAL_DEPRCTN_50P,PTOTAL_DEPRCTN_60P,PTOTAL_DEPRCTN_80P,PTOTAL_DEPRCTN_100P,TOT_DEPR_PM,PEXP_INCURRD_TRF_ASSTS_15P,PEXP_INCURRD_TRF_ASSTS_30P,PEXP_INCURRD_TRF_ASSTS_40P,PEXP_INCURRD_TRF_ASSTS_50P,PEXP_INCURRD_TRF_ASSTS_60P,PEXP_INCURRD_TRF_ASSTS_80P,PEXP_INCURRD_TRF_ASSTS_100P,PCAP_GAINS_LOSS_SEC50_15P,PCAP_GAINS_LOSS_SEC50_30P,PCAP_GAINS_LOSS_SEC50_40P,PCAP_GAINS_LOSS_SEC50_50P,PCAP_GAINS_LOSS_SEC50_60P,PCAP_GAINS_LOSS_SEC50_80P,PCAP_GAINS_LOSS_SEC50_100P,PWRTN_DWN_VAL_LAST_DAY_PY_15P,PWRTN_DWN_VAL_LAST_DAY_PY_30P,PWRTN_DWN_VAL_LAST_DAY_PY_40P,PWRTN_DWN_VAL_LAST_DAY_PY_50P,PWRTN_DWN_VAL_LAST_DAY_PY_60P,PWRTN_DWN_VAL_LAST_DAY_PY_80P,PWRTN_DWN_VAL_LAST_DAY_PY_100P,BWRTN_DOWN_VAL_1ST_DAY_PY_5P,BWRTN_DOWN_VAL_1ST_DAY_PY_10P,BWRTN_DOWN_VAL_1ST_DAY_PY_100P,BCR34_PY_5P,BCR34_PY_10P,BCR34_PY_100P,BAMT_DEPR_FULL_RATE_5P,BAMT_DEPR_FULL_RATE_10P,BAMT_DEPR_FULL_RATE_100P,BCR7_PY_5P,BCR7_PY_10P,BCR7_PY_100P,BAMT_DEP_HALF_RATE_ALLWD_5P,BAMT_DEP_HALF_RATE_ALLWD_10P,BAMT_DEP_HALF_RATE_ALLWD_100P,BDEPRECTN_6_FULL_RATE_5P,BDEPRECTN_6_FULL_RATE_10P,BDEPRECTN_6_FULL_RATE_100P,BDEPRECTN_9_HALF_RATE_5P,BDEPRECTN_9_HALF_RATE_10P,BDEPRECTN_9_HALF_RATE_100P,BTOTAL_DEPRCTN_5P,BTOTAL_DEPRCTN_10P,BTOTAL_DEPRCTN_100P,BEXP_INCURRD_TRF_ASSTS_5P,BEXP_INCURRD_TRF_ASSTS_10P,BEXP_INCURRD_TRF_ASSTS_100P,BCAP_GAINS_LOSS_SEC50_5P,BCAP_GAINS_LOSS_SEC50_10P,BCAP_GAINS_LOSS_SEC50_100P,BWRTN_DWN_VAL_LAST_DAY_PY_5P,BWRTN_DWN_VAL_LAST_DAY_PY_10P,BWRTN_DWN_VAL_LAST_DAY_PY_100P,FWRTN_DOWN_VAL_1ST_DAY_PY_10P,FCR34_PY_10P,FAMT_DEPRECTN_FULL_RATE_10P,FCR7_PY_10P,FAMT_DEP_HALF_RATE_ALLWD_10P,FDEPRECTN_6_FULL_RATE_10P,FDEPRECTN_9_HALF_RATE_10P,FTOTAL_DEPRCTN_10P,FEXP_INCURRD_TRF_ASSTS_10P,FCAP_GAINS_LOSS_SEC50_10P,FWRTN_DOWN_VAL_LAST_DAY_PY_10P,IWRTN_DOWN_VAL_1ST_DAY_PY_10P,ICR34_PY_10P,IAMT_DEPRECTN_FULL_RATE_10P,ICR7_PY_10P,IAMT_DEP_HALF_RATE_ALLWD_10P,IDEPRECTN_6_FULL_RATE_10P,IDEPRECTN_9_HALF_RATE_10P,ITOTAL_DEPRCTN_10P,IEXP_INCURRD_TRF_ASSTS_10P,ICAP_GAINS_LOSS_SEC50_10P,IWRTN_DOWN_VAL_LAST_DAY_PY_10P,SWRTN_DOWN_VAL_1ST_DAY_PY_10P,SCR34_PY_10P,SAMT_DEPRECTN_FULL_RATE_10P,SCR7_PY_10P,SAMT_DEP_HALF_RATE_ALLWD_10P,SDEPRECTN_6_FULL_RATE_10P,SDEPRECTN_9_HALF_RATE_10P,STOTAL_DEPRCTN_10P,SEXP_INCURRD_TRF_ASSTS_10P,SCAP_GAINS_LOSS_SEC50_10P,SWRTN_DOWN_VAL_LAST_DAY_PY_10P,LOSS_LAG1,LOSS_LAG2,LOSS_LAG3,LOSS_LAG4,LOSS_LAG5,LOSS_LAG6,LOSS_LAG7,LOSS_LAG8,MAT_LAG1,MAT_LAG2,MAT_LAG3,MAT_LAG4,MAT_LAG5,MAT_LAG6,MAT_LAG7,MAT_LAG8,MAT_LAG9,MAT_LAG10,MAT_LAG11,MAT_LAG12,MAT_LAG13,MAT_LAG14,MAT_LAG15
0,0,1,2017,972,116,4265406,946678,1150678,2168050,2120757,0,2271001,754306,3025307,0,0,754306,3025307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271001,0,2271001,2271001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,1110,0,0,31110,0,31110,-215250,0,0,0,0,0,0,0,0,0,0,0,0,0,93296,0,0,0,21400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8122,7230,0,0,0,0,0,0,0,0,0,0,4893742,0,0,0,9594,0,0,82307,0,0,0,0,0,0,4904731,0,0,0,30994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735710,0,0,0,18596,0,0,0,0,0,0,0,0,0,735710,0,0,0,18596,0,0,754306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4169021,0,0,0,12398,0,0,0,4697603,0,0,0,0,0,4697603,0,0,0,0,0,0,0,0,469760,0,0,0,0,0,469760,0,0,0,0,0,0,0,0,4227843,0,311969,0,320091,0,7230,32009,362,32371,0,0,294950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2,2017,2313,120,75868096,41270095,17329498,17268503,11577503,0,15443658,0,15443658,0,0,0,15443658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15443658,0,15443658,0,15443658,0,0,0,0,0,0,15443660,0,15443660,0,0,0,5106137,0,0,0,5106137,0,136752,120855,257607,2400000,752324,117,2211300,5363741,0,0,17268503,3194673,223627,102549,3520849,4633098,0,4633098,324317,148722,5106137,5106137,5363744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,3,2017,3088,607,-434455,0,53627,-488082,-486284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15,4,2017,3550,708,42744,52,0,42692,42692,0,42692,0,42692,0,0,0,42692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42692,0,42692,0,42692,0,0,0,0,0,0,42690,0,42690,0,0,0,12751,0,0,0,12751,0,0,0,0,0,33225,0,0,33225,0,20470,42692,7898,0,237,8135,12380,0,12380,0,371,12751,12751,12751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,5,2017,3592,705,718054,0,59563,658491,658491,0,661947,0,661947,0,0,0,661947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661947,0,661947,0,661947,0,0,0,0,0,0,661950,0,661950,0,0,0,204543,0,0,0,204543,0,903,648,1551,0,191610,0,14484,206094,0,0,658491,121821,0,3654,125475,198585,0,198585,0,5958,204543,204543,206094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,6,2017,4583,714,468337143,2353624,79276285,386707234,303778234,0,366895133,28386845,395281978,0,0,28386845,395281978,0,0,0,0,0,0,0,0,0,0,52781275,0,0,52781275,419676408,0,419676408,0,419676408,0,0,0,3859500,366895134,370754634,48921770,0,48921770,0,0,0,82549149,0,0,0,82549149,0,0,0,0,49100000,36680424,0,0,85780424,0,3231280,386799252,71557862,8586943,2404344,82549149,14676531,0,14676531,1027357,471117,16175005,82549149,82549149,41046016,1491504,0,0,0,3129854,0,0,12002647,0,0,0,4842912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7439768,0,0,580039,0,0,0,0,0,0,0,1202761,236708,0,0,0,0,0,0,0,0,0,0,125462656,0,0,0,8634624,0,0,170616,0,0,0,70742,0,0,126783544,0,0,0,11693736,0,0,0,0,0,0,0,0,0,12002647,0,0,0,4842912,0,0,19017531,0,0,0,7016241,0,0,900199,0,0,0,1452874,0,0,19917730,0,0,0,8469115,0,0,28386845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118868461,0,0,0,8067533,0,0,0,260538618,0,0,0,0,0,267978386,0,0,0,0,0,580039,0,0,26797839,0,0,29002,0,0,26826841,0,0,0,0,0,0,0,0,241731584,0,8283936,0,9486697,0,236708,948670,11835,960505,0,0,8762900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,30,7,2017,5056,501,7610185,1403776,741222,5465187,3833187,0,5465187,0,5465187,0,0,0,5465187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5465187,0,5465187,0,5465187,0,0,0,0,0,0,5465190,0,5465190,0,0,0,1632452,0,0,0,1632452,0,0,0,0,0,1721542,0,0,1721542,0,89090,5465187,1011060,0,30332,1041392,1584905,0,1584905,0,47547,1632452,1632452,1632452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,35,8,2017,7231,204,211957,0,197789,14168,11468,0,7249,0,7249,0,0,0,7249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7249,0,7249,0,7249,0,0,0,0,0,0,7250,0,0,0,0,0,2700,0,0,0,2700,0,0,0,0,0,0,0,2700,2700,0,0,14168,2621,0,79,2700,2103,0,2103,0,63,2166,2700,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,40,9,2017,7564,714,20265917,2268955,6646855,11350107,7294544,0,13049176,0,13049176,0,0,0,13049176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13049176,0,13049176,0,13049176,0,0,0,0,0,0,13049180,0,0,0,0,2000294,2314157,0,0,0,2314157,0,0,0,0,0,3199699,0,0,3199699,0,885540,11350107,2099770,146984,67403,2314157,3914754,0,3914754,274033,125664,4314451,4314451,2314157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,45,10,2017,8424,714,63769,0,0,63769,43280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63769,0,0,63769,63769,0,63769,0,63769,0,0,0,0,0,0,63770,0,63770,0,0,0,19048,0,0,0,19048,0,0,48,48,12070,8019,0,0,20089,0,990,43280,8007,0,240,8247,18493,0,18493,0,555,19048,19048,19096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
