Taxpayer_ID1,Taxpayer_ID,Year,Tax due,Sector,Sector_Code,Revenues,Other_revenues,Expenses,Net_accounting_profit,Donations_NGO,Donations_Others,Other_additions,Total_additions_to_GP,Total_taxable_profit,Tax_depreciation,Other_deductions,Net_taxable_profit,Donations_allowed,Carried_forward_losses,Tax_base,Exemptions,Investment_incentive,Net_tax_base,Exchange_rate,Net_tax_base_Egyp_Pounds,Donations_Govt,Loss_lag8,Loss_lag7,Loss_lag6,Loss_lag5,Loss_lag4,Loss_lag3,Loss_lag2,Loss_lag1,Op_WDV_Bld,Add_Bld,Excl_Bld,Clg_WDV_Bld,Dep_Bld,Op_WDV_Intang,Add_Intang,Excl_Intang,Clg_WDV_Intang,Dep_Intang,Op_WDV_Mach,Add_Mach,Excl_Mach,Clg_WDV_Mach,Dep_Mach,Op_WDV_Others,Add_Others,Excl_Others,Clg_WDV_Others,Dep_Others,Op_WDV_Comp,Add_Comp,Excl_Comp,Clg_WDV_Comp,Dep_Comp
2000000105.00,2000000105.00,2020,0,Hotels,0,6730535,2062405,14534193,-5741253,0,0,2172359,2172359,-3568894,2529800,112570,-6211264,0,0,-6211264,0,0,-6211264,1,-6211264,0,0,0,0,0,0,0,0,0,33558600,382275,0,33940875,1697043.75,0,0,0,0,0,0,0,0,0,0,2756935,498257,0,3255192,813798,18036,19880,0,37916,18958
2000000242.00,2000000242.00,2020,0,Hotels,0,27079002,0,26499880,579122,0,0,835091,835091,1414213,1587716,0,-173503,0,0,-173503,0,0,-173503,1,-173503,0,0,0,0,0,0,0,0,0,21591219,8400,0,21599619,1079981,0,0,0,0,0,0,0,0,0,0,1644728,386210,0,2030938,507734.5,0,0,0,0,0
2000000412.00,2000000412.00,2020,1293862,Hotels,0,4848127,2249370,16334381,-9236884,0,0,16853869,16853869,7616985,374700,1491789,5750497,0,0,5750497,0,0,5750497,1,5750497,0,0,0,0,0,0,0,0,0,1914580,0,0,1914580,95729,0,0,0,0,0,0,0,0,0,0,46590,830000,0,876590,219147.5,116796,2850,0,119646,59823
2000000435.00,2000000435.00,2020,0,Hotels,0,-140106,803771,5635911,-4972246,0,0,5216540,5216540,244294,7120437,961530,-7837673,0,0,-7837673,0,0,-7837673,1,-7837673,0,0,0,0,0,0,0,0,0,98795374,3483282,0,102278656,5113933,0,0,0,0,0,0,0,0,0,0,7379262,622985,194233,7808014,1952003.5,86438,22562,0,109000,54500
2000000498.00,2000000498.00,2020,773841,Hotels,0,3504424,0,2342278,1162146,0,0,2277148,2277148,3439294,0,0,3439294,0,0,3439294,0,0,3439294,1,3439294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000520.00,2000000520.00,2020,61414,Hotels,0,-235174,621,177201,-411754,0,0,1567661,1567661,1155907,882956,0,272952,0,0,272952,0,0,272952,1,272952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3236681,128333,0,3365014,841253.5,74204,9200,0,83404,41702
2000000778.00,2000000778.00,2020,1387278,Hotels,0,52478734,35660054,71053478,17085310,0,0,22405025,22405025,39490335,33314656,10000,6165680,0,0,6165680,0,0,6165680,1,6165680,0,0,0,0,0,0,0,0,0,561482024,9987665,0,571469689,28110392,0,0,0,0,0,0,0,0,0,0,17524753,3302301,10000,20817054,5204263.5,0,0,0,0,0
2000000996.00,2000000996.00,2020,0,Hotels,0,43050030,2983722,47983258,-1949506,0,0,510875,510875,-1438631,0,82490,-1521121,0,0,-1521121,0,0,-1521121,1,-1521121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000001086.00,2000001086.00,2020,0,Hotels,0,20213221,12822613,66122101,-33086267,0,0,50998519,50998519,17912252,4606698,15208536,-1902982,0,0,-1902982,0,0,-1902982,1,-1902982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085693,16965623,0,18051316,4512829,126530,61208,0,187738,93869
2000001173.00,2000001173.00,2020,0,Hotels,0,128540,637343,3102910,-2337027,0,0,1896239,1896239,-440788,143710,542142,-1126640,0,1003577,-2130217,0,0,-2130217,1,-2130217,0,0,0,0,0,7883480,0,0,0,0,0,0,0,0,1437103,0,0,1437103,143710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
