Year,CPI,SALARY,gross_i_w,gross_i_l,gross_i_c,income_wage_l,income_add_l,income_supvr_l,income_officials_l,income_jury_l,income_manu_l,income_contract_l,income_agr_med_l,income_prop_c,income_copyrights_c,income_dividends_c,income_interest_c,income_gamesch_c,income_other_c,personal_allowance_w
2018.0,0.766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019.0,0.766,1.0,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045
2020.0,0.879,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2021.0,1.292,1.0,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09
2022.0,1.638,1.0,1.0,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018,1.018
2023.0,1.819,1.0,1.0,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017
2024.0,2.016,1.0,1.0,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017
2025.0,2.016,1.0,1.0,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017
2026.0,2.016,1.0,1.0,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017
2027.0,2.016,1.0,1.0,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017
2028.0,2.016,1.0,1.0,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017
2029.0,2.016,1.0,1.0,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017
2030.0,2.016,1.0,1.0,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017
