WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
265418.91,265418.91,265418.91,265418.91,265418.91,265418.91,265418.91
